epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.545,1.60836,3.03091,1.64241,0.48519,0.46326,0.35576,0.18117,1.64237,1.92629,1.6819,0.0001851,0.0001851,0.0001851
2,384.892,1.45786,1.92669,1.51897,0.47393,0.53378,0.39948,0.20741,1.63702,1.73266,1.67022,0.000358209,0.000358209,0.000358209
3,570.485,1.43161,1.62378,1.49922,0.37762,0.53232,0.38726,0.21081,1.61428,1.69526,1.66142,0.000519086,0.000519086,0.000519086
4,755.538,1.40408,1.47193,1.48007,0.4457,0.58541,0.42502,0.23683,1.59027,1.58767,1.62706,0.000500956,0.000500956,0.000500956
5,939.487,1.36045,1.36543,1.44879,0.45716,0.62401,0.45169,0.25557,1.53529,1.50543,1.59429,0.000482608,0.000482608,0.000482608
6,1122.92,1.32836,1.29394,1.42204,0.37449,0.63464,0.48329,0.28129,1.52153,1.46697,1.58228,0.00046426,0.00046426,0.00046426
7,1306.39,1.30372,1.24722,1.40877,0.36311,0.67664,0.46687,0.25899,1.56347,1.50702,1.63223,0.000445912,0.000445912,0.000445912
8,1487.78,1.27871,1.20287,1.39777,0.40494,0.66717,0.4765,0.29077,1.46516,1.44164,1.55708,0.000427564,0.000427564,0.000427564
9,1668.82,1.25986,1.16705,1.38303,0.39161,0.67235,0.47227,0.28146,1.48077,1.39625,1.55732,0.000409216,0.000409216,0.000409216
10,1849.37,1.25212,1.14155,1.36983,0.40145,0.70205,0.47479,0.28478,1.48706,1.44809,1.5609,0.000390868,0.000390868,0.000390868
11,2030.12,1.2302,1.11134,1.35738,0.39003,0.69568,0.4812,0.29255,1.46029,1.39274,1.53605,0.00037252,0.00037252,0.00037252
12,2209.91,1.20213,1.08383,1.33868,0.39829,0.724,0.47442,0.29201,1.46927,1.43074,1.54649,0.000354172,0.000354172,0.000354172
13,2390.23,1.19772,1.05736,1.34247,0.42296,0.71946,0.49635,0.31127,1.44199,1.34142,1.52237,0.000335824,0.000335824,0.000335824
14,2570.32,1.1821,1.03782,1.32466,0.42527,0.68164,0.48923,0.30949,1.41531,1.33449,1.50534,0.000317476,0.000317476,0.000317476
15,2750.69,1.17468,1.02192,1.3255,0.40354,0.70864,0.48952,0.30718,1.42128,1.28744,1.50461,0.000299128,0.000299128,0.000299128
16,2933.59,1.15981,1.00742,1.31964,0.4002,0.70691,0.47487,0.30172,1.42994,1.3271,1.51915,0.00028078,0.00028078,0.00028078
17,3115.1,1.15299,0.98447,1.30754,0.43584,0.72806,0.50226,0.317,1.43007,1.30934,1.51593,0.000262432,0.000262432,0.000262432
18,3295.91,1.13072,0.97105,1.29567,0.44537,0.69745,0.51709,0.32773,1.40668,1.23537,1.5098,0.000244084,0.000244084,0.000244084
19,3476.56,1.12021,0.95793,1.28811,0.42974,0.7374,0.50775,0.32426,1.39716,1.22223,1.48958,0.000225736,0.000225736,0.000225736
20,3657.39,1.10814,0.9424,1.28397,0.4313,0.73297,0.51342,0.32539,1.41736,1.24645,1.49407,0.000207388,0.000207388,0.000207388
21,3838.45,1.10871,0.86779,1.35722,0.4476,0.72955,0.52294,0.32865,1.4011,1.19457,1.48425,0.00018904,0.00018904,0.00018904
22,4017.51,1.08598,0.84396,1.34048,0.43101,0.72168,0.52154,0.33041,1.42418,1.20992,1.50028,0.000170692,0.000170692,0.000170692
23,4197.04,1.0701,0.82889,1.33195,0.44553,0.75161,0.52812,0.33331,1.38716,1.18533,1.47855,0.000152344,0.000152344,0.000152344
24,4375.87,1.04483,0.81324,1.30785,0.44101,0.75211,0.53368,0.33907,1.38331,1.17123,1.48448,0.000133996,0.000133996,0.000133996
25,4554.7,1.02754,0.80077,1.29881,0.43877,0.7624,0.52428,0.33474,1.37821,1.17096,1.47228,0.000115648,0.000115648,0.000115648
26,4733.32,1.01072,0.78715,1.29063,0.45087,0.74797,0.52416,0.33552,1.3839,1.16884,1.47694,9.73e-05,9.73e-05,9.73e-05
27,4912.14,0.99381,0.77388,1.27419,0.44386,0.73939,0.53004,0.34029,1.38663,1.157,1.47924,7.8952e-05,7.8952e-05,7.8952e-05
28,5090.44,0.97888,0.76452,1.2677,0.44026,0.75066,0.52675,0.33876,1.38773,1.16551,1.48026,6.0604e-05,6.0604e-05,6.0604e-05
29,5269.31,0.96369,0.75707,1.25604,0.43389,0.76381,0.52803,0.34009,1.38132,1.15792,1.48239,4.2256e-05,4.2256e-05,4.2256e-05
30,5448.47,0.95408,0.7504,1.25125,0.44375,0.74537,0.53064,0.3418,1.38727,1.1545,1.48413,2.3908e-05,2.3908e-05,2.3908e-05
